"石墨烯
濃度(wt%)","奈米氧化鋁
濃度(wt%)",碳黑奈米濃度 (wt%),"電磁攪拌
時間(min)","超音波震盪
時間(min)","幫浦輸送
速度 (L/min)","沉浸液
總體積(L)","沉浸液於
散熱區體積(L)","冷卻
瓦數(W)","電池直徑
(mm)","電池高度
(mm)","加熱區軸向
熱傳導係數(W/mK)","加熱區縱向
熱傳導係數(W/mK)","加熱
瓦數(W)",環溫(℃),電阻(Ω),電池溫度
17.48963933,4.845062488,0,6,0,6.01,8.367509335,6.457052855,0.510275657,6.5,50,25,120,1,20.22671555,∞,44.18601099
1.758338722,6.98537568,0,10,5,4.21,6.949689844,8.507436651,1.525197256,6.5,50,25,120,1,22.9956825,∞,64.95341285
13.75955993,3.845089249,0,1,3,1.75,0.108960946,3.650554302,0.216597097,6.5,50,25,120,1,21.53729145,∞,58.63830555
15.58512409,7.352038252,0,0,2,9.33,3.707985,5.271367004,1.070857914,6.5,50,25,120,1,25.80009617,∞,34.10295636
17.13120122,13.75691072,0,1,0,5.03,0.047768447,7.663846302,2.296023708,6.5,50,25,120,1,23.84822973,∞,59.0803561
6.016712132,3.391799231,0,1,1,4.81,6.143161612,2.227348536,1.485784909,6.5,50,25,120,1,28.66455093,∞,14.66286752
10.41395537,10.15430492,0,1,1,4.62,2.181407184,8.138545714,2.582824184,6.5,50,25,120,1,28.0327951,∞,12.9601445
19.52111331,1.029663937,0,2,3,1.05,5.324858546,8.301796813,1.883343567,6.5,50,25,120,2,24.06309321,28.77106239,64.21565577
10.35148053,2.598922768,0,10,0,1.13,8.351768836,6.376777713,0.190423509,6.5,50,25,120,2,26.35614224,34.7835078,67.20404987
0.471983313,10.44347981,0,6,6,0.95,5.807352997,0.459924738,2.908317473,6.5,50,25,120,2,27.32604753,57.25355656,15.74509457
9.923578724,0.995448882,0,2,8,0.37,2.965709511,3.444544222,2.68277414,6.5,50,25,120,2,24.40349954,87.84152935,-0.589503959
19.55662063,13.18606672,0,2,2,1.16,8.505884481,8.914455481,0.774542706,6.5,50,25,120,2,21.32428798,85.07260817,41.4978113
14.61628223,8.05888336,0,0,5,8.82,9.006386771,5.607007547,0.318842702,6.5,50,25,120,2,20.52884666,75.97312475,35.92636365
13.65267329,11.93995335,0,2,6,5.14,9.482957449,9.40799538,2.245506992,6.5,50,25,120,2,20.70564791,21.71163112,50.29498841
10.09864149,1.311968251,0,7,10,5.41,1.816467636,4.458463468,0.494259432,3.5,25,25,120,2,20.9437906,53.92618744,32.5763
2.754338395,11.13215863,0,8,6,3.15,3.17936305,1.022494905,2.783649505,3.5,25,25,120,2,22.84502086,99.39675493,38.25939169
15.31422421,11.72018831,0,0,3,4.08,0.913807676,5.241656791,1.600391444,3.5,25,25,120,2,20.05269011,98.13777097,24.93283128
16.00267764,5.525238011,0,4,7,8.98,9.36944864,1.337447698,0.570933398,3.5,25,25,120,2,24.48343107,24.85119073,36.61659819
7.535438326,10.98743552,0,3,9,8.01,8.329200256,3.398856171,2.660786942,3.5,25,25,120,2,25.04062687,9.351523803,38.43466437
4.257154126,3.258866953,0,7,2,4.89,7.981985671,2.800866986,1.041790977,3.5,25,25,120,2,24.03805307,41.28788351,60.60645895
2.469224012,2.450281186,0,1,0,7.22,5.53196256,2.3362788,1.977857173,3.5,25,25,120,2,20.65126716,67.79647431,68.66083773
11.12950869,9.107787104,0,0,7,7.59,5.877185269,4.140635343,0.0648179,3.5,25,25,120,2,28.49282575,73.46254018,19.39112044
19.38738425,4.535117223,0,9,3,4.44,5.137830806,4.815422311,1.819070019,3.5,25,25,120,2,20.05228455,19.23122073,53.46887911
4.043658967,8.558384228,0,3,5,6.92,8.206416608,6.510626863,2.244506291,3.5,25,25,120,2,29.57775923,55.41608087,47.62404088
18.53806251,6.090844162,0,5,10,4.81,2.085832592,8.231524603,0.981516516,3.5,25,25,120,2,23.89430329,99.95992387,51.15944457
1.43671059,13.50736258,0,9,7,8.49,3.169615804,9.134402119,0.525358235,3.5,25,25,120,2,26.35070323,91.36389213,19.19428989
11.27626135,6.823378459,0,4,7,5.81,1.462519862,5.575426536,2.468563601,3.5,25,25,120,2,27.66920497,17.79599424,12.23920015
16.22418969,14.180529,0,10,4,2.35,2.286624598,3.816954258,1.016681547,3.5,25,25,120,3,29.51443882,28.30149704,38.02063502
8.6097643,2.663017433,0,10,4,1.28,1.909123947,1.639139137,2.39721317,3.5,25,25,120,3,28.67684712,54.2859123,50.91941707
3.384230118,9.336647443,0,1,3,1.8,3.671450802,3.062800482,1.81814761,3.5,25,25,120,3,26.50829223,14.00949256,32.34025773
3.73145272,13.29831212,0,4,1,5.41,3.069349894,6.068592498,2.1709907,3.5,25,25,120,3,29.6747758,23.73420456,21.96220928
1.856186508,1.328278057,0,5,4,2.99,0.607689473,1.967310606,1.423831438,3.5,25,25,120,3,22.71885771,88.50571565,55.84192153
10.79461976,9.694185806,0,4,8,6.31,7.701393523,3.784907705,1.160195641,3.5,25,25,120,3,28.59961445,23.61890645,19.81349824
6.549215214,3.49297812,0,9,5,0.67,2.363788541,2.871107738,2.32075798,3.5,25,25,120,3,23.4176353,77.89383455,44.18237254
15.65009093,14.9636863,0,1,4,7.94,7.72399085,7.251846371,0.073718427,3.5,25,25,120,3,26.05641814,13.69446104,16.77834278
5.201437814,9.21907582,0,8,9,7.63,5.153911269,5.479136589,2.745947031,3.5,25,25,120,3,26.91346632,94.9384878,55.10761137
7.747557143,11.10333688,0,6,9,6.12,3.251877085,2.267547649,0.504870913,3.5,25,25,120,3,25.94238808,54.73559056,68.30766021
